day_idx,hour,hour_idx,t_step,split,S,month,time,DP,RP,NODE,ZONEID,price_timestamp,price_date,solar_timestamp_raw,solar_timestamp_local,solar_date_local,VAR78,VAR79,VAR134,VAR157,VAR164,VAR165,VAR166,VAR167,VAR169,VAR175,VAR178,VAR228,VAR169_deaccum,VAR175_deaccum,VAR178_deaccum,VAR228_deaccum
0,9,0,0,train,0.0063461538461538,4,0.0,33.43,24.57,AECI.APM_1.AZ,1,2023-01-01 09:00:00,2023-01-01,2012-04-01 21:00:00,2012-04-02 09:00:00,2012-04-02,0.04499053955,0.0,94769.0,98.57301331,0.6236877441,-0.0554189682,1.24878788,283.6530762,12417521.0,24904848.0,15240341.0,0.006778717041,66231.0,1114512.0,127774.0,7.152557000000663e-06
0,10,1,1,train,0.0715384615384615,4,1.0,33.66,24.88,AECI.APM_1.AZ,1,2023-01-01 10:00:00,2023-01-01,2012-04-01 22:00:00,2012-04-02 10:00:00,2012-04-02,0.03886032104,0.0,94787.9375,92.12310791,0.8327941895,-0.8517446518,0.9724979401,286.2585449,12947510.0,26133136.0,15980090.0,0.006783485413,529989.0,1228288.0,739749.0,4.768371999999861e-06
0,11,2,2,train,0.229166666666667,4,2.0,34.49,24.88,AECI.APM_1.AZ,1,2023-01-01 11:00:00,2023-01-01,2012-04-01 23:00:00,2012-04-02 11:00:00,2012-04-02,0.0350189209,0.0,94775.25,82.74525452,0.9532928467,-1.10296154,0.3103113174,288.4182129,13965544.0,27398656.0,17317616.0,0.00679063797,1018034.0,1265520.0,1337526.0,7.152556999999796e-06
0,12,3,3,train,0.346474358974359,4,3.0,33.27,24.84,AECI.APM_1.AZ,1,2023-01-01 12:00:00,2023-01-01,2012-04-02 00:00:00,2012-04-02 12:00:00,2012-04-02,0.07444000244,0.0,94736.125,71.751297,0.9324645996,-0.1930522919,-0.4475736618,290.267334,15464841.0,28768880.0,19196208.0,0.00680065155,1499297.0,1370224.0,1878592.0,1.0013579999999973e-05
0,13,4,4,train,0.656858974358974,4,4.0,33.05,25.09,AECI.APM_1.AZ,1,2023-01-01 13:00:00,2023-01-01,2012-04-02 01:00:00,2012-04-02 13:00:00,2012-04-02,0.112361908,0.0,94746.8125,69.93354797,0.8302764893,0.342458725,-1.522831917,291.6049805,1717842.0,1313442.0,2181074.0,0.0001914575696,1717842.0,1313442.0,2181074.0,0.0001914575696
0,14,5,5,train,0.771410256410257,4,5.0,34.39,26.07,AECI.APM_1.AZ,1,2023-01-01 14:00:00,2023-01-01,2012-04-02 02:00:00,2012-04-02 14:00:00,2012-04-02,0.07010650635,0.0,94678.875,65.64964294,0.6853027344,1.115677834,-1.500989914,292.329834,3326070.0,2660549.0,4322714.0,0.0002633929253,1608228.0,1347107.0,2141640.0,7.193535570000002e-05
0,15,6,6,train,0.613782051282051,4,6.0,34.63,25.83,AECI.APM_1.AZ,1,2023-01-01 15:00:00,2023-01-01,2012-04-02 03:00:00,2012-04-02 15:00:00,2012-04-02,0.06700134277,0.0,94608.375,60.07411194,0.7687988281,1.774486542,-1.611888885,293.2460938,5127796.0,4041206.0,6601140.0,0.0002846419811,1801726.0,1380657.0,2278426.0,2.124905579999997e-05
0,16,7,7,train,0.554807692307692,4,7.0,36.47,26.59,AECI.APM_1.AZ,1,2023-01-01 16:00:00,2023-01-01,2012-04-02 04:00:00,2012-04-02 16:00:00,2012-04-02,0.05855941772,0.0,94533.6875,54.51229858,0.5389099121,2.232107162,-1.731534004,294.0068359,6934132.0,5390044.0,8848819.0,0.000296831131,1806336.0,1348838.0,2247679.0,1.2189149900000034e-05
0,17,8,8,train,0.458910256410256,4,8.0,44.85,32.93,AECI.APM_1.AZ,1,2023-01-01 17:00:00,2023-01-01,2012-04-02 05:00:00,2012-04-02 17:00:00,2012-04-02,0.02058410645,0.0,94505.9375,51.13789368,0.4868164062,2.173001289,-1.898820877,294.362793,8433191.0,6699170.0,10729834.0,0.000296831131,1499059.0,1309126.0,1881015.0,0.0
0,18,9,9,train,0.198269230769231,4,9.0,43.75,31.46,AECI.APM_1.AZ,1,2023-01-01 18:00:00,2023-01-01,2012-04-02 06:00:00,2012-04-02 18:00:00,2012-04-02,0.01302909851,0.0,94503.8125,48.85609436,0.2236480713,2.617418289,-1.667720795,294.494873,9867263.0,7963078.0,12419882.0,0.000296831131,1434072.0,1263908.0,1690048.0,0.0
